audit_date	sequence	callable_symbol	classification	wip_source_evidence	PC3.4_assessment	release2_check
2026-07-14	1	F0535_MEMORY_GetGraphicsDatFileSize	platform-only/non-applicable	Toolchains/Common/Source/MEMORY.C:1312-1323; MEDIA448_A21E_A22E guard and F0534 Amiga floppy handle call	Only A21E/A22E; not in the I34E PC 3.4 media set.	Release2 checkout absent under /Volumes/Extern-disk/firestaff-reference-cache/redmcsb
2026-07-14	2	F0536_INPUT_Initialize	platform-only/non-applicable	Toolchains/Common/Source/INPUT.C:124-148; MEDIA413_A20ED_A20E_A20F_A20G_A21E_A22E_A22G and Amiga console.device setup	Amiga input-device initialization; no I34E implementation.	Release2 checkout absent under /Volumes/Extern-disk/firestaff-reference-cache/redmcsb
2026-07-14	3	F0537_INPUT_ReleaseResources	platform-only/non-applicable	Toolchains/Common/Source/INPUT.C:210-230; FreeSignal/DeletePort/DeleteStdIO/FreeMem Amiga resources	Companion of the Amiga-only input initializer.	Release2 checkout absent under /Volumes/Extern-disk/firestaff-reference-cache/redmcsb
2026-07-14	4	F0538_INPUT_Deinitialize	platform-only/non-applicable	Toolchains/Common/Source/INPUT.C:233-245; IND_SETMTRIG/IND_REMHANDLER and CloseDevice	Amiga input-device teardown; no PC 3.4 applicability.	Release2 checkout absent under /Volumes/Extern-disk/firestaff-reference-cache/redmcsb
2026-07-14	5	F0539_INPUT_Cconis	PC3.4-relevant implementation candidate	Toolchains/Common/Source/IO2.C:179-185; MEDIA463_P20JA_P20JB_I34E_I34M_P31J branch calls the keyboard-input-present driver	PC 3.4 keyboard-buffer availability callable; implement only from its I34E branch.	Release2 checkout absent under /Volumes/Extern-disk/firestaff-reference-cache/redmcsb
2026-07-14	6	F0540_INPUT_Crawcin	PC3.4-relevant implementation candidate	Toolchains/Common/Source/IO2.C:4-8 and 27-29; MEDIA529 includes I34E and the P20JA/P20JB/I34E/I34M branch is present	PC 3.4 keyboard-buffer read callable; implement only from its I34E branch.	Release2 checkout absent under /Volumes/Extern-disk/firestaff-reference-cache/redmcsb
2026-07-14	7	F0541_INPUT_WaitForMouseOrKeyboardActivity	platform-only/non-applicable	Toolchains/Common/Source/INPUT.C:279-285; follows the MEDIA413 Amiga input block and calls Amiga Delay	Amiga input wait routine; no I34E PC 3.4 branch.	Release2 checkout absent under /Volumes/Extern-disk/firestaff-reference-cache/redmcsb
2026-07-14	8	F0543_INPUT_DeviceInterruptHandler	platform-only/non-applicable	Toolchains/Common/Source/INPUT.C:298-305 and 748-779; InputEvent handler and Amiga interrupt-stub path	Input-device interrupt chain is Amiga platform machinery, not a PC 3.4 callable target.	Release2 checkout absent under /Volumes/Extern-disk/firestaff-reference-cache/redmcsb
2026-07-14	9	F0544_INPUT_ResetPressingEyeOrMouth	platform-only/non-applicable	Toolchains/Common/Source/INPUT.C:754-769; MEDIA433_A20E_A20F_A20G_A21E_A22E_A22G guard	Only Amiga media identifiers are guarded in; absent for I34E.	Release2 checkout absent under /Volumes/Extern-disk/firestaff-reference-cache/redmcsb
2026-07-14	10	F0545_MOUSE_AllocateMemory	platform-only/non-applicable	Toolchains/Common/Source/IO.C:621-636; MEDIA413 Amiga guard and AllocMem SPRITEIMAGE allocations	Amiga sprite-pointer allocation, not PC 3.4 behavior.	Release2 checkout absent under /Volumes/Extern-disk/firestaff-reference-cache/redmcsb
2026-07-14	11	F0546_MOUSE_Deinitialize	platform-only/non-applicable	Toolchains/Common/Source/IO.C:653-668; FreeSprite and FreeMem pointer resources	Amiga sprite-pointer teardown, not PC 3.4 behavior.	Release2 checkout absent under /Volumes/Extern-disk/firestaff-reference-cache/redmcsb
2026-07-14	12	F0547_MOUSE_SetPointerSprites	platform-only/non-applicable	Toolchains/Common/Source/IO.C:2220-2233; MEDIA413 guard, UWORD sprite images	Amiga hardware sprite programming; no PC 3.4 branch.	Release2 checkout absent under /Volumes/Extern-disk/firestaff-reference-cache/redmcsb
2026-07-14	13	F0548_MOUSE_HidePointer	platform-only/non-applicable	Toolchains/Common/Source/IO.C:3639-3653; outer MEDIA421 excludes I34E and Amiga branch writes custom.dmacon	No I34E PC 3.4 selection; this is platform cursor control.	Release2 checkout absent under /Volumes/Extern-disk/firestaff-reference-cache/redmcsb
2026-07-14	14	F0549_MOUSE_ShowPointer	platform-only/non-applicable	Toolchains/Common/Source/IO.C:3672-3683; same MEDIA421 outer guard and Amiga sprite-DMA enable	No I34E PC 3.4 selection; this is platform cursor control.	Release2 checkout absent under /Volumes/Extern-disk/firestaff-reference-cache/redmcsb
2026-07-14	15	F0550_VIDEO_FillScreenBox	platform-only/non-applicable	Toolchains/Common/Source/BLITFILL.C:178-190; MEDIA353 excludes I34E and Amiga branch uses RastPort/RectFill	No PC 3.4 media branch; Amiga/G14 screen-fill implementation.	Release2 checkout absent under /Volumes/Extern-disk/firestaff-reference-cache/redmcsb
2026-07-14	16	F0551_VIDEO_HatchBox_Unreferenced	platform-only/non-applicable	Toolchains/Common/Source/BLITFILL.C:436-453; MEDIA413 Amiga guard and InitBitMap	Explicitly Amiga-only and marked Unreferenced.	Release2 checkout absent under /Volumes/Extern-disk/firestaff-reference-cache/redmcsb
2026-07-14	17	F0552_BASE_DisplayError	platform-only/non-applicable	Toolchains/Common/Source/BASE.C:1082-1095; MEDIA413 Amiga guard and intuition.library OpenLibrary	Amiga Intuition alert path; no PC 3.4 branch.	Release2 checkout absent under /Volumes/Extern-disk/firestaff-reference-cache/redmcsb
2026-07-14	18	F0553_TEXT_MESSAGEAREA_MoveCursorToTopLeft	platform-only/non-applicable	Toolchains/Common/Source/TEXT.C:1407-1414; MEDIA413 Amiga guard	Only Amiga media identifiers; no I34E PC 3.4 implementation.	Release2 checkout absent under /Volumes/Extern-disk/firestaff-reference-cache/redmcsb
2026-07-14	19	F0554_TEXT_MESSAGEAREA_DeleteLastCharacter_Unreferenced	platform-only/non-applicable	Toolchains/Common/Source/TEXT.C:1918-1934; MEDIA413 Amiga guard	Explicitly Amiga-only and marked Unreferenced.	Release2 checkout absent under /Volumes/Extern-disk/firestaff-reference-cache/redmcsb
2026-07-14	20	F0555_TEXT_AllocateMemory	platform-only/non-applicable	Toolchains/Common/Source/TEXT.C:2032-2047; MEDIA413 Amiga guard and AllocMem/InitBitMap	Amiga message-area bitplane allocation; no PC 3.4 branch.	Release2 checkout absent under /Volumes/Extern-disk/firestaff-reference-cache/redmcsb
2026-07-14	21	F0556_TEXT_Deinitialize	platform-only/non-applicable	Toolchains/Common/Source/TEXT.C:2054-2064; within the MEDIA413 block and frees BitMap memory	Amiga companion teardown; no PC 3.4 branch.	Release2 checkout absent under /Volumes/Extern-disk/firestaff-reference-cache/redmcsb
2026-07-14	22	F0557_SCROLLER_Initialize	platform-only/non-applicable	Toolchains/Common/Source/SCRLMGMT.C:4-28; MEDIA413 Amiga guard and CreatePort/CreateTask	Amiga task/message-port text scroller; no PC 3.4 branch.	Release2 checkout absent under /Volumes/Extern-disk/firestaff-reference-cache/redmcsb
2026-07-14	23	F0558_SCROLLER_CancelInitialize	platform-only/non-applicable	Toolchains/Common/Source/SCRLMGMT.C:4-5 and 45-54; same MEDIA413 block and DeleteTask/DeletePort	Amiga scroller lifecycle helper; no PC 3.4 branch.	Release2 checkout absent under /Volumes/Extern-disk/firestaff-reference-cache/redmcsb
2026-07-14	24	F0559_SCROLLER_Deinitialize	platform-only/non-applicable	Toolchains/Common/Source/SCRLMGMT.C:4-5 and 57-69; same MEDIA413 block and Amiga resources	Amiga scroller lifecycle helper; no PC 3.4 branch.	Release2 checkout absent under /Volumes/Extern-disk/firestaff-reference-cache/redmcsb
2026-07-14	25	F0560_SCROLLER_SetCommand	platform-only/non-applicable	Toolchains/Common/Source/SCRLMGMT.C:4-5 and 72-83; PutMsg/WaitPort/GetMsg	Amiga task messaging; no PC 3.4 branch.	Release2 checkout absent under /Volumes/Extern-disk/firestaff-reference-cache/redmcsb
2026-07-14	26	F0561_SCROLLER_IsTextScrolling	platform-only/non-applicable	Toolchains/Common/Source/SCRLMGMT.C:4-5 and 86-100; WaitPort/GetMsg state check	Amiga task messaging; no PC 3.4 branch.	Release2 checkout absent under /Volumes/Extern-disk/firestaff-reference-cache/redmcsb
2026-07-14	27	F0562_SCROLLER_Task	platform-only/non-applicable	Toolchains/Common/Source/SCRLTASK.C:22-37; CreatePort/AllocMem task entry	Amiga task entry point; no PC 3.4 branch.	Release2 checkout absent under /Volumes/Extern-disk/firestaff-reference-cache/redmcsb
2026-07-14	28	F0563_SCROLLER_UpdateMessageArea	platform-only/non-applicable	Toolchains/Common/Source/SCRLTASK.C:93-109; ScrollRaster and BltBitMap on RastPort	Amiga graphics-server text scrolling; no PC 3.4 branch.	Release2 checkout absent under /Volumes/Extern-disk/firestaff-reference-cache/redmcsb
2026-07-14	29	F0564_VIEWPORT_InitializeBitPlanes	platform-only/non-applicable	Toolchains/Common/Source/VIEWPORT.C:15-27; Amiga bitplane source/destination setup	Amiga viewport bitplane arrangement; no PC 3.4 branch.	Release2 checkout absent under /Volumes/Extern-disk/firestaff-reference-cache/redmcsb
2026-07-14	30	F0565_VIEWPORT_SetPalette	platform-only/non-applicable	Toolchains/Common/Source/VIEWPORT.C:30-39; WaitBlit/OwnBlitter/Forbid/VBeamPos	Amiga blitter and beam timing; no PC 3.4 branch.	Release2 checkout absent under /Volumes/Extern-disk/firestaff-reference-cache/redmcsb
2026-07-14	31	F0566_VIEWPORT_BlitToScreen	platform-only/non-applicable	Toolchains/Common/Source/VIEWPORT.C:51-64; custom.bltcon/custom.bltapt/custom.bltsize registers	Amiga custom-chip blitter implementation; no PC 3.4 branch.	Release2 checkout absent under /Volumes/Extern-disk/firestaff-reference-cache/redmcsb
2026-07-14	32	F0567_COPYPROA_InitFloppyInterruptHandler_CPSX	platform-only/non-applicable	Toolchains/Common/Source/COPYPROA.C:6-22; MEDIA433 Amiga guard, AllocMem Interrupt, is_Code stub	Amiga floppy copy-protection interrupt setup; no PC 3.4 branch.	Release2 checkout absent under /Volumes/Extern-disk/firestaff-reference-cache/redmcsb
2026-07-14	33	F0568_COPYPROA_CleanupFloppyInterruptHandler_CPSX	platform-only/non-applicable	Toolchains/Common/Source/COPYPROA.C:25-30; frees Amiga Interrupt allocation under the MEDIA433 block	Amiga floppy copy-protection teardown; no PC 3.4 branch.	Release2 checkout absent under /Volumes/Extern-disk/firestaff-reference-cache/redmcsb
2026-07-14	34	F0569_COPYPROA_FloppyInterruptHandler_CPSX	platform-only/non-applicable	Toolchains/Common/Source/COPYPROA.C:33-45 and 57-70; CIA/custom disk-DMA accesses in both Amiga variants	Same callable ID has media-specific Amiga variants, not an alias and not I34E.	Release2 checkout absent under /Volumes/Extern-disk/firestaff-reference-cache/redmcsb
2026-07-14	35	F0571_COPYPROB_InitializeDiskChangeHandler_CPSX	platform-only/non-applicable	Toolchains/Common/Source/COPYPROB.C:14-35; AllocMem/CreatePort/OpenDevice(trackdisk.device)	Amiga disk-change interrupt setup; no PC 3.4 branch.	Release2 checkout absent under /Volumes/Extern-disk/firestaff-reference-cache/redmcsb
2026-07-14	36	F0572_COPYPROB_ReleaseDiskChangeHandler_CPSX	platform-only/non-applicable	Toolchains/Common/Source/COPYPROB.C:74-82; frees Amiga Interrupt objects	Amiga disk-change handler teardown; no PC 3.4 branch.	Release2 checkout absent under /Volumes/Extern-disk/firestaff-reference-cache/redmcsb
2026-07-14	37	F0573_COPYPROB_DiskChangeHandler_CPSX	platform-only/non-applicable	Toolchains/Common/Source/COPYPROB.C:85-100; interrupt handler and 68k stub	Amiga disk-change interrupt handler; no PC 3.4 branch.	Release2 checkout absent under /Volumes/Extern-disk/firestaff-reference-cache/redmcsb
2026-07-14	38	F0575_VerticalBlank_Initialize	platform-only/non-applicable	Toolchains/Common/Source/VBLANK.C:5-25; MEDIA413 Amiga guard, AllocMem and AddIntServer(INTB_VERTB)	Amiga vertical-blank server setup; no PC 3.4 branch.	Release2 checkout absent under /Volumes/Extern-disk/firestaff-reference-cache/redmcsb
2026-07-14	39	F0576_VerticalBlank_Deinitialize	platform-only/non-applicable	Toolchains/Common/Source/VBLANK.C:28-33; RemIntServer(INTB_VERTB) and FreeMem	Amiga vertical-blank server teardown; no PC 3.4 branch.	Release2 checkout absent under /Volumes/Extern-disk/firestaff-reference-cache/redmcsb
2026-07-14	40	F0577_VerticalBlank_Handler_CPSDF	platform-only/non-applicable	Toolchains/Common/Source/VBLANK.C:35-73 and 93-100; Amiga int_start/int_end plus 68k handler stub/assembly	Same callable ID has Amiga media-specific variants; no I34E PC 3.4 branch.	Release2 checkout absent under /Volumes/Extern-disk/firestaff-reference-cache/redmcsb
