audit_date	symbol	exact_authoritative_source_path_and_line	guards	PC3.4_execution_relevance	Firestaff_mapping_recommendation
2026-07-14	F0925_CheckUtilityDiskInDrive	Toolchains/Common/Source/PRIM1.C:250-295 (definition 272-295; call 143)	Outer MEDIA617_X30J_SU1E at PRIM1.C:6; definition is additionally MEDIA772_SU1E at PRIM1.C:250; uses Atari ST XBIOS Floprd declared in PRIM.H:241-264	Not PC3.4. This is the Atari ST utility-floppy sector-7 identity check, and I34E/I34M are not admitted by either guard.	No PC34 symbol mapping. Keep Firestaff CSB Utility Disk content/import logic separate; do not treat its path/hash validation as an F0925 port.
2026-07-14	F0926_FLOPPY_ForceMediaChangeDetection	Toolchains/Common/Source/PRIM1.C:250-396 (definition 297-395; call 282)	Outer MEDIA617_X30J_SU1E at PRIM1.C:6; definition MEDIA772_SU1E at PRIM1.C:250; patches Atari ST supervisor vectors and opens A:\\F	Not PC3.4. The routine is an Atari ST media-change workaround and cannot execute in the I34E/I34M PC build.	No PC34 symbol mapping; explicitly classify as platform non-applicable.
2026-07-14	F0927_PrintLoaderError	Toolchains/Common/Source/PRIM1.C:398-421	Outer MEDIA617_X30J_SU1E at PRIM1.C:6; output branches MEDIA772_SU1E and MEDIA577_X30J at PRIM1.C:401-419	Not PC3.4. This loader diagnostic is compiled only for Atari ST/X68000 media families, never I34E/I34M.	No PC34 mapping. Firestaff may retain modern loader diagnostics under its own interfaces, but must not claim F0927 equivalence.
2026-07-14	F0928_PrintOSError	Toolchains/Common/Source/PRIM1.C:423-446	Outer MEDIA617_X30J_SU1E at PRIM1.C:6; output branches MEDIA772_SU1E and MEDIA577_X30J at PRIM1.C:426-444	Not PC3.4. This is the companion Atari ST/X68000 primitive-OS diagnostic, outside the PC build.	No PC34 mapping; classify as platform non-applicable.
2026-07-14	F0929_PRIM_05_FTL_Load	Toolchains/Common/Source/PRIM1.C:448-647; alternate library implementation PRIM2B.C:267-737	PRIM1 outer MEDIA617_X30J_SU1E at PRIM1.C:6; PRIM2B outer MEDIA648_A31E_A35E_X31J at PRIM2B.C:4; PRIM.H maps F0929 only for MEDIA577_X30J or MEDIA692_X31J at 278-303 and 335-378	Not PC3.4. Available authoritative definitions cover Atari ST/X68000/Amiga library loaders; no I34E/I34M guard or PC call path is present.	No PC34 mapping. Do not substitute Firestaff asset discovery or archive materialization for F0929 without separate IBM-PC source evidence.
2026-07-14	F0930_GetHeaderChecksum	Toolchains/Common/Source/PRIM1.C:649-670; PRIM2B.C:757-778; SWITCH.C:209-228	PRIM1 is under MEDIA617_X30J_SU1E at PRIM1.C:6; PRIM2B is MEDIA648_A31E_A35E_X31J at PRIM2B.C:4; SWITCH.C is MEDIA772_SU1E at SWITCH.C:4	Not PC3.4. Every authoritative implementation is in Atari ST/X68000/Amiga loader code; no I34E/I34M implementation is present.	No PC34 mapping. Existing Firestaff save/checksum code is not evidence of F0930 equivalence; add only if IBM-PC FTL-loader evidence is found.
2026-07-14	F0931_ChecksumWords	Toolchains/Common/Source/PRIM1.C:672-686; PRIM2B.C:780-793	PRIM1 outer MEDIA617_X30J_SU1E at PRIM1.C:6; PRIM2B outer MEDIA648_A31E_A35E_X31J at PRIM2B.C:4	Not PC3.4. The word accumulator belongs to non-PC FTL loader validation.	No PC34 mapping; classify as platform non-applicable rather than mapping generic checksum helpers.
2026-07-14	F0932_ChecksumBytes	Toolchains/Common/Source/PRIM1.C:688-702; PRIM2B.C:795-808	PRIM1 outer MEDIA617_X30J_SU1E at PRIM1.C:6; PRIM2B outer MEDIA648_A31E_A35E_X31J at PRIM2B.C:4	Not PC3.4. The byte accumulator belongs to non-PC FTL loader validation.	No PC34 mapping; do not equate Firestaff's DM1/CSB save checksums with this loader helper.
2026-07-14	F0933_GetHexStringFromValue	Toolchains/Common/Source/PRIM1.C:706-716; X68000 variant STRING.C:598-635	PRIM1 outer MEDIA617_X30J_SU1E at PRIM1.C:6; STRING.C variant MEDIA692_X31J and not ANSI_COMPILER at 598-599	Not PC3.4. Neither implementation admits I34E/I34M. The X68000 variant also appends newline before NUL, unlike the PRIM1 variant.	Reclassify existing declaration include/redmcsb_f0933_get_hex_string_from_value.h as non-PC source evidence; no PC34 runtime mapping or implementation is warranted.
2026-07-14	F0934_ConvertValueToHexDigits	Toolchains/Common/Source/PRIM1.C:718-739; X68000 static variant STRING.C:602-623	PRIM1 outer MEDIA617_X30J_SU1E at PRIM1.C:6; STRING.C variant MEDIA692_X31J and not ANSI_COMPILER at 598-599	Not PC3.4. Both versions are confined to non-PC loader/string paths; their shared minimal-uppercase conversion does not establish PC execution relevance.	Reclassify existing declaration include/redmcsb_f0934_convert_value_to_hex_digits.h as non-PC source evidence; do not add a PC34 mapping merely because the helper is portable.
2026-07-14	F0935_VIDEO_FadeToPalette	Toolchains/Common/Base/FTL.idc:6292-6322 (IDA label at 6321); no definition or call-site named F0935 exists in Toolchains/Common/Source	The only authoritative cache naming is inside the SU1E_ANIMATE.FTL block selected by EXEID 123 at FTL.idc:6292; the associated source family is MEDIA772_SU1E, not I34E/I34M	Not PC3.4. The available evidence is an Atari ST animation-binary label only, with no PC source branch or PC call-site.	No PC34 mapping. Keep it evidence-only until an IBM-PC-specific source or binary analysis identifies a corresponding routine.
