family	id	symbol	redmcsb_files	status	inventory_status	audit_basis
E	0013	E0013_MAIN_Exception69Handler_TimerC_DoNothing	BASE.C;DEFS.H	missing	unmapped_or_unverified	no exact identifier found by inventory scan
E	0014	E0014_MAIN_Exception70Handler_KeyboardMIDI	BASE.C;DEFS.H	missing	unmapped_or_unverified	no exact identifier found by inventory scan
E	0015	E0015_MAIN_Exception72Handler_TimerB_PaletteSwitcher	BASE.C;DEFS.H	missing	unmapped_or_unverified	no exact identifier found by inventory scan
E	0017	E0017_MAIN_Exception28Handler_VerticalBlank_CPSDF	DRAWVIEW.C;BASE.C;DEFS.H	missing	unmapped_or_unverified	no exact identifier found by inventory scan
E	0061	E0061_SOUND_Exception77Handler_TimerA_SoundPlayer	ATARIST.H;SOUND.C	missing	unmapped_or_unverified	no exact identifier found by inventory scan
E	061	E061_aAA6_	ATARIST.H	missing	unmapped_or_unverified	no exact identifier found by inventory scan
F	0002	F0002_MAIN_GameLoop_CPSDF	IIGS.H;IO.C;DEFS.H;CHAMPION.C;GAMELOOP.C;STARTUP2.C	referenced-not-verified	referenced_not_verified	exact identifier found by inventory scan; not reviewed as implementation
F	0003	F0003_MAIN_ProcessNewPartyMap_CPSE	ATARIST.H;FMTOWNS.H;IIGS.H;DEFS.H;CHAMPION.C;NEWMAP.C;GAMELOOP.C;STARTUP2.C	referenced-not-verified	referenced_not_verified	exact identifier found by inventory scan; not reviewed as implementation
F	003	F003_aaaS_	ATARIST.H	missing	unmapped_or_unverified	no exact identifier found by inventory scan
F	0006	F0006_MAIN_HighlightScreenBox	ATARIST.H;IIGS.H;SPELDRAW.C;CLIKMENU.C;BASE.C;DEFS.H	referenced-not-verified	referenced_not_verified	exact identifier found by inventory scan; not reviewed as implementation
F	006	F006_aamz_	ATARIST.H	missing	unmapped_or_unverified	no exact identifier found by inventory scan
