symbol	kind	family	reference_source	firestaff_mapping	status	notes
E0013_MAIN_Exception69Handler_TimerC_DoNothing	E	MAIN	BASE.C:726	-	MISSING	No exact numbered token found in Firestaff src/include; no implementation claim.
E0014_MAIN_Exception70Handler_KeyboardMIDI	E	MAIN	BASE.C:728	-	MISSING	No exact numbered token found in Firestaff src/include; no implementation claim.
E0015_MAIN_Exception72Handler_TimerB_PaletteSwitcher	E	MAIN	BASE.C:738	src/engine/m11_game_view.c:9876	UNCERTAIN_NUMBERED_EVIDENCE	Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
E0017_MAIN_Exception28Handler_VerticalBlank_CPSDF	E	MAIN	BASE.C:787	src/nexus/nexus_v1_engine.c:33	UNCERTAIN_NUMBERED_EVIDENCE	Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
E0061_SOUND_Exception77Handler_TimerA_SoundPlayer	E	SOUND	ATARIST.H:5	src/dm2/dm2_v1_boot.c:240	UNCERTAIN_NUMBERED_EVIDENCE	Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
E061_aAA6_	E	Atari ST / PRIM ABI alias	ATARIST.H:5	src/dm2/dm2_v1_boot.c:240	UNCERTAIN_NUMBERED_EVIDENCE	Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F0002_MAIN_GameLoop_CPSDF	F	MAIN	CHAMPION.C:248	src/dm2/dm2_v1_boot.c:247	UNCERTAIN_NUMBERED_EVIDENCE	Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F0003_MAIN_ProcessNewPartyMap_CPSE	F	MAIN	ATARIST.H:6	src/dm2/dm2_v1_projectile_pc34_compat.c:557	UNCERTAIN_NUMBERED_EVIDENCE	Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F003_aaaS_	F	Atari ST / PRIM ABI alias	ATARIST.H:6	src/dm2/dm2_v1_projectile_pc34_compat.c:557	UNCERTAIN_NUMBERED_EVIDENCE	Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F004	F	C runtime / program startup	DEFS.H:6535	src/dm2/dm2_v2_hud_overlay.c:110	UNCERTAIN_NUMBERED_EVIDENCE	Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F005	F	C runtime / program startup	DEFS.H:6536	src/dm2/dm2_v1_boot.c:236	UNCERTAIN_NUMBERED_EVIDENCE	Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F0006_MAIN_HighlightScreenBox	F	MAIN	ATARIST.H:7	src/dm2/dm2_v2_phase_gate.c:17	UNCERTAIN_NUMBERED_EVIDENCE	Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F006_aamz_	F	Atari ST / PRIM ABI alias	ATARIST.H:7	src/dm2/dm2_v2_phase_gate.c:17	UNCERTAIN_NUMBERED_EVIDENCE	Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F0007_MAIN_CopyBytes	F	MAIN	ATARIST.H:8	src/dm2/dm2_v1_boot.c:235	UNCERTAIN_NUMBERED_EVIDENCE	Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F0007_sub1_	F	sub1	COPYBYTE.C:134	src/dm2/dm2_v1_boot.c:235	UNCERTAIN_NUMBERED_EVIDENCE	Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F0007_sub1_XXXXXXXXXX_XXXXXXXXXX_XXXXXXXXXX	F	sub1	IIGS.H:1707	src/dm2/dm2_v1_boot.c:235	UNCERTAIN_NUMBERED_EVIDENCE	Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F0007_sub2_	F	sub2	COPYBYTE.C:137	src/dm2/dm2_v1_boot.c:235	UNCERTAIN_NUMBERED_EVIDENCE	Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F0007_sub2_XXXXXXXXXX_XXXXXXXXXX_XXXXXXXXXX	F	sub2	IIGS.H:1708	src/dm2/dm2_v1_boot.c:235	UNCERTAIN_NUMBERED_EVIDENCE	Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F007_aAA7_	F	Atari ST / PRIM ABI alias	ATARIST.H:8	src/dm2/dm2_v1_boot.c:235	UNCERTAIN_NUMBERED_EVIDENCE	Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F0008_MAIN_ClearBytes	F	MAIN	ATARIST.H:9	src/ui/menu_startup_render_modern_m12.c:385	UNCERTAIN_NUMBERED_EVIDENCE	Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F008_aA19_	F	Atari ST / PRIM ABI alias	ATARIST.H:9	src/ui/menu_startup_render_modern_m12.c:385	UNCERTAIN_NUMBERED_EVIDENCE	Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F0009_MAIN_WriteSpacedBytes	F	MAIN	ATARIST.H:10	src/theron/theron_v1_track19_inventory.c:3	UNCERTAIN_NUMBERED_EVIDENCE	Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F009_aA49_	F	Atari ST / PRIM ABI alias	ATARIST.H:10	src/theron/theron_v1_track19_inventory.c:3	UNCERTAIN_NUMBERED_EVIDENCE	Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F0010_MAIN_WriteSpacedWords	F	MAIN	ATARIST.H:11	src/nexus/nexus_v1_audio_receipt.c:42	UNCERTAIN_NUMBERED_EVIDENCE	Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F010_aAA7_	F	Atari ST / PRIM ABI alias	ATARIST.H:11	src/nexus/nexus_v1_audio_receipt.c:42	UNCERTAIN_NUMBERED_EVIDENCE	Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F0018_MAIN_SetExceptionVectors	F	MAIN	ATARIST.H:12	-	MISSING	No exact numbered token found in Firestaff src/include; no implementation claim.
F018_aaat_	F	Atari ST / PRIM ABI alias	ATARIST.H:12	-	MISSING	No exact numbered token found in Firestaff src/include; no implementation claim.
