symbol	family	source_file	source_line	semantic_role	semantic_domain	firestaff_mapping	firestaff_status	evidence
C000_ACTION_N	constant	DEFS.H	1808	classified unclassified constant	unclassified	none; no direct Firestaff counterpart	unmapped / no direct counterpart	definition DEFS.H:1808 = 0; 1 source reference(s); no direct C/G storage counterpart; Firestaff uses named module state
C000_CLASS_SWING_WEAPON	constant	DEFS.H	1721	classified creature-combat constant	creature-combat	src/dm1/dm1_v1_creature_ai_behavior_pc34_compat.c; src/dm1/dm1_v1_combat_pc34_compat.c	semantic candidate (unverified)	definition DEFS.H:1721 = 0 /* Class 0: SWING weapons */; 3 source reference(s); semantic candidate: src/dm1/dm1_v1_creature_ai_behavior_pc34_compat.c; src/dm1/dm1_v1_combat_pc34_compat.c
C000_COMMAND_NONE	constant	DEFS.H	237	classified input-ui constant	input-ui	src/dm1/dm1_v1_mouse_routes_pc34_compat.c; src/dm1/dm1_v1_click_routing_pc34_compat.c	semantic candidate (unverified)	definition DEFS.H:237 = 0; 14 source reference(s); semantic candidate: src/dm1/dm1_v1_mouse_routes_pc34_compat.c; src/dm1/dm1_v1_click_routing_pc34_compat.c
C000_DERIVED_BITMAP_VIEWPORT	constant	DEFS.H	2407	classified dungeon-world constant	dungeon-world	src/dm1/dm1_v1_dungeon_data_pc34_compat.c	semantic candidate (unverified)	definition DEFS.H:2407 = 0 /* Versions 1.x and 2.x: Used while drawing fields (graphics #73 to #74) and explosion patterns (graphics #351 to #359) over the viewport (224x136 pixels) */; 33 source reference(s); semantic candidate: src/dm1/dm1_v1_dungeon_data_pc34_compat.c
C000_EXPLOSION_FIREBALL	constant	DEFS.H	1552	classified unclassified constant	unclassified	none; no direct Firestaff counterpart	unmapped / no direct counterpart	definition DEFS.H:1552 = 0; 3 source reference(s); no direct C/G storage counterpart; Firestaff uses named module state
C000_GRAPHIC_DIALOG_BOX	constant	DEFS.H	2164	classified viewport-rendering constant	viewport-rendering	src/dm1/dm1_v1_viewport_3d_pc34_compat.c	semantic candidate (unverified)	definition DEFS.H:2164 = 0; 4 source reference(s); semantic candidate: src/dm1/dm1_v1_viewport_3d_pc34_compat.c
C000_ICON_JUNK_COMPASS_NORTH	constant	DEFS.H	1887	classified input-ui constant	input-ui	src/dm1/dm1_v1_mouse_routes_pc34_compat.c; src/dm1/dm1_v1_click_routing_pc34_compat.c	semantic candidate (unverified)	definition DEFS.H:1887 = 0; 7 source reference(s); semantic candidate: src/dm1/dm1_v1_mouse_routes_pc34_compat.c; src/dm1/dm1_v1_click_routing_pc34_compat.c
C000_MODE_LOAD_SAVED_GAME	constant	DEFS.H	2991	classified save-load constant	save-load	src/dm1/dm1_v1_save_load_system_pc34_compat.c	semantic candidate (unverified)	definition DEFS.H:2991 = 0; 6 source reference(s); semantic candidate: src/dm1/dm1_v1_save_load_system_pc34_compat.c
C000_OBJECT_INFO_INDEX_FIRST_SCROLL	constant	DEFS.H	1691	classified unclassified constant	unclassified	none; no direct Firestaff counterpart	unmapped / no direct counterpart	definition DEFS.H:1691 = 0; 3 source reference(s); no direct C/G storage counterpart; Firestaff uses named module state
C000_SENSOR_DISABLED	constant	DEFS.H	1256	classified unclassified constant	unclassified	none; no direct Firestaff counterpart	unmapped / no direct counterpart	definition DEFS.H:1256 = 0 /* Never triggered, may be used for a floor or wall ornament */; 4 source reference(s); no direct C/G storage counterpart; Firestaff uses named module state
C001_ACTION_BLOCK	constant	DEFS.H	1809	classified unclassified constant	unclassified	none; no direct Firestaff counterpart	unmapped / no direct counterpart	definition DEFS.H:1809 = 1; 1 source reference(s); no direct C/G storage counterpart; Firestaff uses named module state
C001_COMMAND_TURN_LEFT	constant	DEFS.H	238	classified input-ui constant	input-ui	src/dm1/dm1_v1_mouse_routes_pc34_compat.c; src/dm1/dm1_v1_click_routing_pc34_compat.c	semantic candidate (unverified)	definition DEFS.H:238 = 1; 18 source reference(s); semantic candidate: src/dm1/dm1_v1_mouse_routes_pc34_compat.c; src/dm1/dm1_v1_click_routing_pc34_compat.c
C001_DERIVED_BITMAP_THIEVES_EYE_VISIBLE_AREA	constant	DEFS.H	2409	classified dungeon-world constant	dungeon-world	src/dm1/dm1_v1_dungeon_data_pc34_compat.c	semantic candidate (unverified)	definition DEFS.H:2409 = 1 /* Used to store the visible area behind hole in wall or door (96x95 pixels) */; 13 source reference(s); semantic candidate: src/dm1/dm1_v1_dungeon_data_pc34_compat.c
C001_DOOR_BUTTON_COUNT	constant	DEFS.H	2432	classified viewport-rendering constant	viewport-rendering	src/dm1/dm1_v1_viewport_3d_pc34_compat.c	semantic candidate (unverified)	definition DEFS.H:2432 = 1; 3 source reference(s); semantic candidate: src/dm1/dm1_v1_viewport_3d_pc34_compat.c
C001_EXPLOSION_SLIME	constant	DEFS.H	1553	classified unclassified constant	unclassified	none; no direct Firestaff counterpart	unmapped / no direct counterpart	definition DEFS.H:1553 = 1; 1 source reference(s); no direct C/G storage counterpart; Firestaff uses named module state
C001_FOUNTAIN_ORNAMENT_COUNT	constant	DEFS.H	2433	classified viewport-rendering constant	viewport-rendering	src/dm1/dm1_v1_viewport_3d_pc34_compat.c	semantic candidate (unverified)	definition DEFS.H:2433 = 1; 13 source reference(s); semantic candidate: src/dm1/dm1_v1_viewport_3d_pc34_compat.c
C001_GRAPHIC_TITLE	constant	DEFS.H	2165	classified viewport-rendering constant	viewport-rendering	src/dm1/dm1_v1_viewport_3d_pc34_compat.c	semantic candidate (unverified)	definition DEFS.H:2165 = 1; 4 source reference(s); semantic candidate: src/dm1/dm1_v1_viewport_3d_pc34_compat.c
C001_MODE_LOAD_DUNGEON	constant	DEFS.H	2992	classified save-load constant	save-load	src/dm1/dm1_v1_save_load_system_pc34_compat.c	semantic candidate (unverified)	definition DEFS.H:2992 = 1; 8 source reference(s); semantic candidate: src/dm1/dm1_v1_save_load_system_pc34_compat.c
C001_OBJECT_INFO_INDEX_FIRST_CONTAINER	constant	DEFS.H	1692	classified unclassified constant	unclassified	none; no direct Firestaff counterpart	unmapped / no direct counterpart	definition DEFS.H:1692 = 1; 3 source reference(s); no direct C/G storage counterpart; Firestaff uses named module state
C001_SECTOR_1	constant	ATARIST.H	448	classified unclassified constant	unclassified	none; source platform/toolchain state	out-of-scope: platform/toolchain	definition ATARIST.H:448 = 1; 10 source reference(s); source-only platform state; no Firestaff parity claim
C001_SENSOR_FLOOR_THERON_PARTY_CREATURE_OBJECT	constant	DEFS.H	1257	classified viewport-rendering constant	viewport-rendering	src/dm1/dm1_v1_viewport_3d_pc34_compat.c	semantic candidate (unverified)	definition DEFS.H:1257 = 1 /* Triggered by party/thing F0276_SENSOR_ProcessThingAdditionOrRemoval */; 2 source reference(s); semantic candidate: src/dm1/dm1_v1_viewport_3d_pc34_compat.c
C001_SENSOR_WALL_ORNAMENT_CLICK	constant	DEFS.H	1266	classified viewport-rendering constant	viewport-rendering	src/dm1/dm1_v1_viewport_3d_pc34_compat.c	semantic candidate (unverified)	definition DEFS.H:1266 = 1 /* Triggered by player click F0275_SENSOR_IsTriggeredByClickOnWall */; 3 source reference(s); semantic candidate: src/dm1/dm1_v1_viewport_3d_pc34_compat.c
C002_ACTION_CHOP	constant	DEFS.H	1810	classified unclassified constant	unclassified	none; no direct Firestaff counterpart	unmapped / no direct counterpart	definition DEFS.H:1810 = 2; 2 source reference(s); no direct C/G storage counterpart; Firestaff uses named module state
C002_CLASS_DAGGER_AND_AXES	constant	DEFS.H	1722	classified unclassified constant	unclassified	none; no direct Firestaff counterpart	unmapped / no direct counterpart	definition DEFS.H:1722 = 2 /* Class 1 to 15: THROW weapons */; 2 source reference(s); no direct C/G storage counterpart; Firestaff uses named module state
