family	id	symbol	redmcsb_files	semantic_owner	classification	status
A	3032	A3032_i_EventIndex	TIMELINE.C	F0652_MergeEvent	auxiliary_alias	no_standalone_port
A	3032	A3032_i_EventType	TIMELINE.C	F0652_MergeEvent	auxiliary_alias	no_standalone_port
A	6211	A6211_c_AsciiCode	COMMAND.C	F2156_	auxiliary_alias	no_standalone_port
A	6211	A6211_c_Value	COMMAND.C	F2156_	auxiliary_alias	no_standalone_port
L	0000	L0000_s_Event_CPSE	NEWMAP.C	F0003_MAIN_ProcessNewPartyMap_CPSE	function_local_storage	no_standalone_port
L	0001	L0001_puc_ObjectNames	OBJECT.C	F0031_OBJECT_LoadNames	function_local_storage	no_standalone_port
L	0002	L0002_puc_Graphic	OBJECT.C	F0031_OBJECT_LoadNames	function_local_storage	no_standalone_port
L	0003	L0003_ui_ObjectNameIndex	OBJECT.C	F0031_OBJECT_LoadNames	function_local_storage	no_standalone_port
L	0004	L0004_i_Multiple	OBJECT.C	F0032_OBJECT_GetType	function_local_storage	no_standalone_port
L	0005	L0005_i_IconIndex	OBJECT.C	F0033_OBJECT_GetIconIndex	function_local_storage	no_standalone_port
L	0006	L0006_ps_Junk	OBJECT.C	F0033_OBJECT_GetIconIndex	function_local_storage	no_standalone_port
L	0007	L0007_i_IconIndex	OBJECT.C	F0034_OBJECT_DrawLeaderHandObjectName	function_local_storage	no_standalone_port
L	0008	L0008_pc_ObjectName	OBJECT.C	F0034_OBJECT_DrawLeaderHandObjectName	function_local_storage	no_standalone_port
L	0009	L0009_ps_Junk	OBJECT.C	F0034_OBJECT_DrawLeaderHandObjectName	function_local_storage	no_standalone_port
L	0010	L0010_ac_ObjectName	OBJECT.C	F0034_OBJECT_DrawLeaderHandObjectName	function_local_storage	no_standalone_port
L	0011	L0011_ui_Counter	OBJECT.C	F0036_OBJECT_ExtractIconFromBitmap	function_local_storage	no_standalone_port
L	0012	L0012_pl_Bitmap_Icon	OBJECT.C	F0036_OBJECT_ExtractIconFromBitmap	function_local_storage	no_standalone_port
L	0013	L0013_puc_Bitmap_Icon	OBJECT.C	F0037_OBJECT_DrawIconToScreen	function_local_storage	no_standalone_port
L	0014	L0014_ai_Box	OBJECT.C	F0037_OBJECT_DrawIconToScreen	function_local_storage	no_standalone_port
L	0015	L0015_ui_IconGraphicIndex	OBJECT.C	F0038_OBJECT_DrawIconInSlotBox	function_local_storage	no_standalone_port
L	0016	L0016_i_ByteWidth	OBJECT.C	F0038_OBJECT_DrawIconInSlotBox	function_local_storage	no_standalone_port
L	0017	L0017_ps_SlotBox	OBJECT.C	F0038_OBJECT_DrawIconInSlotBox	function_local_storage	no_standalone_port
L	0018	L0018_puc_Bitmap_Icons	OBJECT.C	F0038_OBJECT_DrawIconInSlotBox	function_local_storage	no_standalone_port
L	0019	L0019_ai_Box	OBJECT.C	F0038_OBJECT_DrawIconInSlotBox	function_local_storage	no_standalone_port
L	0020	L0020_puc_Bitmap_Destination	OBJECT.C	F0038_OBJECT_DrawIconInSlotBox	function_local_storage	no_standalone_port
L	0021	L0021_i_CharacterIndex	TEXT.C	F0041_TEXT_PrintWithTrailingSpaces;F0768_TEXT_PrintToZoneWithTrailingSpaces	function_local_storage	no_standalone_port
L	0022	L0022_ac_String	TEXT.C	F0041_TEXT_PrintWithTrailingSpaces;F0768_TEXT_PrintToZoneWithTrailingSpaces	function_local_storage	no_standalone_port
L	0023	L0023_RowIndex	TEXT.C	F0043_TEXT_MESSAGEAREA_ClearAllRows	function_local_storage	no_standalone_port
L	0024	L0024_ai_Box	TEXT.C	F0043_TEXT_MESSAGEAREA_ClearAllRows	function_local_storage	no_standalone_port
L	0025	L0025_i_Unreferenced	TEXT.C	F0044_TEXT_MESSAGEAREA_ClearExpiredRows	function_local_storage	no_standalone_port
L	0026	L0026_ui_RowIndex	TEXT.C	F0044_TEXT_MESSAGEAREA_ClearExpiredRows	function_local_storage	no_standalone_port
L	0027	L0027_l_ExpirationTime	TEXT.C	F0044_TEXT_MESSAGEAREA_ClearExpiredRows	function_local_storage	no_standalone_port
L	0028	L0028_ai_Box	TEXT.C	F0044_TEXT_MESSAGEAREA_ClearExpiredRows	function_local_storage	no_standalone_port
L	0028	L0028_ai_XYZ	TEXT.C	F0044_TEXT_MESSAGEAREA_ClearExpiredRows	function_local_storage	no_standalone_port
L	0029	L0029_ui_RowIndex	TEXT.C	F0045_TEXT_MESSAGEAREA_CreateNewRow	function_local_storage	no_standalone_port
L	0030	L0030_i_StringLength	TEXT.C	F0046_TEXT_MESSAGEAREA_PrintString	function_local_storage	no_standalone_port
L	0031	L0031_CharacterIndex	TEXT.C	F0047_TEXT_MESSAGEAREA_PrintMessage	function_local_storage	no_standalone_port
L	0032	L0032_i_SpaceString	TEXT.C	F0047_TEXT_MESSAGEAREA_PrintMessage	function_local_storage	no_standalone_port
L	0033	L0033_ac_String	TEXT.C	F0047_TEXT_MESSAGEAREA_PrintMessage	function_local_storage	no_standalone_port
L	0034	L0034_ac_String	TEXT.C	F0048_TEXT_MESSAGEAREA_PrintCharacter	function_local_storage	no_standalone_port
L	0035	L0035_ui_CharacterIndex	TEXT.C	F0049_TEXT_MESSAGEAREA_PrintInteger_Unreferenced	function_local_storage	no_standalone_port
L	0036	L0036_ac_String	TEXT.C	F0049_TEXT_MESSAGEAREA_PrintInteger_Unreferenced	function_local_storage	no_standalone_port
L	0037	L0037_ui_LineIndex	TEXT.C	F0054_TEXT_Initialize	function_local_storage	no_standalone_port
L	0038	L0038_l_NextSoundSample	SOUND.C	F0060_SOUND_Play_CPSX	function_local_storage	no_standalone_port
L	0039	L0039_i_RemainingSoundSampleCount	SOUND.C	F0060_SOUND_Play_CPSX	function_local_storage	no_standalone_port
L	0040	L0040_i_PSGModeRegisterBackup	SOUND.C	F0060_SOUND_Play_CPSX	function_local_storage	no_standalone_port
L	0041	L0041_l_SupervisorStack	SOUND.C	F0060_SOUND_Play_CPSX	function_local_storage	no_standalone_port
L	0042	L0042_l_Multiple	SOUND.C	F0061_SOUND_SetChannelAmplitudes	function_local_storage	no_standalone_port
L	0043	L0043_l_SupervisorStack	SOUND.C	F0063_SOUND_KeyClickOff	function_local_storage	no_standalone_port
L	0044	L0044_ps_Sound	SOUND.C	F0064_SOUND_RequestPlay_CPSD	function_local_storage	no_standalone_port
L	0045	L0045_s_Event	SOUND.C	F0064_SOUND_RequestPlay_CPSD	function_local_storage	no_standalone_port
L	0046	L0046_SoundVolume	SOUND.C	F0064_SOUND_RequestPlay_CPSD	function_local_storage	no_standalone_port
L	0047	L0047_i_DistanceToParty	SOUND.C	F0064_SOUND_RequestPlay_CPSD	function_local_storage	no_standalone_port
L	0048	L0048_ps_Sound	SOUND.C	F0065_SOUND_PlayPendingSound_CPSD	function_local_storage	no_standalone_port
L	0049	L0049_ps_Kbdvecs	IO.C	F0066_MOUSE_Initialize	function_local_storage	no_standalone_port
L	0050	L0050_i_Unreferenced	IO.C	F0066_MOUSE_Initialize	function_local_storage	no_standalone_port
L	0051	L0051_puc_Bitmap	IO.C	F0068_MOUSE_SetPointerToObject	function_local_storage	no_standalone_port
L	0052	L0052_ui_ChampionIconIndex	IO.C	F0070_MOUSE_ProcessCommands125To128_ClickOnChampionIcon	function_local_storage	no_standalone_port
L	0053	L0053_i_ChampionIndex	IO.C	F0070_MOUSE_ProcessCommands125To128_ClickOnChampionIcon	function_local_storage	no_standalone_port
L	0054	L0054_i_ChampionIndex	IO.C	F0070_MOUSE_ProcessCommands125To128_ClickOnChampionIcon	function_local_storage	no_standalone_port
L	0055	L0055_pi_ChampionIconBox	IO.C	F0070_MOUSE_ProcessCommands125To128_ClickOnChampionIcon	function_local_storage	no_standalone_port
L	0056	L0056_puc_Bitmap	IO.C	F0070_MOUSE_ProcessCommands125To128_ClickOnChampionIcon	function_local_storage	no_standalone_port
L	0057	L0057_B_UseByteBoxCoordinatesBackup	IO.C	F0071_MOUSE_DropChampionIcon	function_local_storage	no_standalone_port
L	0058	L0058_ui_ChampionIconIndex	IO.C	F0071_MOUSE_DropChampionIcon	function_local_storage	no_standalone_port
L	0059	L0059_ul_X	IO.C	F0073_MOUSE_BuildPointerScreenArea	function_local_storage	no_standalone_port
L	0060	L0060_ul_Y	IO.C	F0073_MOUSE_BuildPointerScreenArea	function_local_storage	no_standalone_port
L	0061	L0061_i_Height	IO.C	F0073_MOUSE_BuildPointerScreenArea	function_local_storage	no_standalone_port
L	0062	L0062_i_PixelWidth	IO.C	F0073_MOUSE_BuildPointerScreenArea	function_local_storage	no_standalone_port
L	0063	L0063_puc_Bitmap_ModifiedColors	IO.C	F0073_MOUSE_BuildPointerScreenArea	function_local_storage	no_standalone_port
L	0064	L0064_puc_Bitmap_OriginalColors	IO.C	F0073_MOUSE_BuildPointerScreenArea	function_local_storage	no_standalone_port
L	0065	L0065_auc_Box	IO.C	F0073_MOUSE_BuildPointerScreenArea	function_local_storage	no_standalone_port
L	0066	L0066_B_UseByteBoxCoordinatesBackup	IO.C	F0073_MOUSE_BuildPointerScreenArea	function_local_storage	no_standalone_port
L	0067	L0067_i_MousePointerRightPadding	IO.C	F0073_MOUSE_BuildPointerScreenArea	function_local_storage	no_standalone_port
L	0068	L0068_puc_Bitmap	IO.C	F0073_MOUSE_BuildPointerScreenArea	function_local_storage	no_standalone_port
L	0069	L0069_i_PaletteIndex	DUNVIEW.C	F0093_DUNGEONVIEW_ApplyCreatureReplacementColors	function_local_storage	no_standalone_port
L	0070	L0070_i_WallSetLastGraphicIndex	DUNVIEW.C	F0095_DUNGEONVIEW_LoadWallSet	function_local_storage	no_standalone_port
L	0071	L0071_pi_BitmapIndices	DUNVIEW.C	F0095_DUNGEONVIEW_LoadWallSet	function_local_storage	no_standalone_port
L	0071	L0071_ppuc_Bitmaps	DUNVIEW.C	F0095_DUNGEONVIEW_LoadWallSet	function_local_storage	no_standalone_port
L	0072	L0072_i_Multiple	DUNVIEW.C	F0096_DUNGEONVIEW_LoadCurrentMapGraphics_CPSDF	function_local_storage	no_standalone_port
L	0073	L0073_i_Multiple	DUNVIEW.C	F0096_DUNGEONVIEW_LoadCurrentMapGraphics_CPSDF	function_local_storage	no_standalone_port
L	0074	L0074_ui_Multiple	DUNVIEW.C	F0096_DUNGEONVIEW_LoadCurrentMapGraphics_CPSDF	function_local_storage	no_standalone_port
L	0075	L0075_ui_Multiple	DUNVIEW.C	F0096_DUNGEONVIEW_LoadCurrentMapGraphics_CPSDF	function_local_storage	no_standalone_port
L	0076	L0076_puc_Multiple	DUNVIEW.C	F0096_DUNGEONVIEW_LoadCurrentMapGraphics_CPSDF	function_local_storage	no_standalone_port
L	0077	L0077_pi_GraphicIndices	DUNVIEW.C	F0096_DUNGEONVIEW_LoadCurrentMapGraphics_CPSDF	function_local_storage	no_standalone_port
L	0078	L0078_pi_GraphicIndex	DUNVIEW.C	F0096_DUNGEONVIEW_LoadCurrentMapGraphics_CPSDF	function_local_storage	no_standalone_port
L	0079	L0079_auc_DoorSets	DUNVIEW.C	F0096_DUNGEONVIEW_LoadCurrentMapGraphics_CPSDF	function_local_storage	no_standalone_port
L	0080	L0080_i_CreatureTypeIndex	DUNVIEW.C	F0096_DUNGEONVIEW_LoadCurrentMapGraphics_CPSDF	function_local_storage	no_standalone_port
L	0081	L0081_B_FirstFunctionCallOrSmallHeapMemory	DUNVIEW.C	F0096_DUNGEONVIEW_LoadCurrentMapGraphics_CPSDF	function_local_storage	no_standalone_port
L	0082	L0082_i_Unreferenced	DUNVIEW.C	F0096_DUNGEONVIEW_LoadCurrentMapGraphics_CPSDF	function_local_storage	no_standalone_port
L	0083	L0083_i_CreatureAdditionalGraphicCount	DUNVIEW.C	F0096_DUNGEONVIEW_LoadCurrentMapGraphics_CPSDF	function_local_storage	no_standalone_port
L	0084	L0084_i_Multiple	DUNVIEW.C	F0096_DUNGEONVIEW_LoadCurrentMapGraphics_CPSDF	function_local_storage	no_standalone_port
L	0085	L0085_i_MapAlcoveGraphicCount	DUNVIEW.C	F0096_DUNGEONVIEW_LoadCurrentMapGraphics_CPSDF	function_local_storage	no_standalone_port
L	0086	L0086_i_MapFountainGraphicCount	DUNVIEW.C	F0096_DUNGEONVIEW_LoadCurrentMapGraphics_CPSDF	function_local_storage	no_standalone_port
L	0087	L0087_B_OpenGraphicsDatRequired	DUNVIEW.C	F0096_DUNGEONVIEW_LoadCurrentMapGraphics_CPSDF	function_local_storage	no_standalone_port
L	0088	L0088_i_Multiple	DUNVIEW.C	F0107_DUNGEONVIEW_IsDrawnWallOrnamentAnAlcove_CPSF	function_local_storage	no_standalone_port
L	0089	L0089_i_Multiple	DUNVIEW.C	F0107_DUNGEONVIEW_IsDrawnWallOrnamentAnAlcove_CPSF	function_local_storage	no_standalone_port
L	0090	L0090_puc_Multiple	DUNVIEW.C	F0107_DUNGEONVIEW_IsDrawnWallOrnamentAnAlcove_CPSF	function_local_storage	no_standalone_port
L	0091	L0091_puc_Multiple	DUNVIEW.C	F0107_DUNGEONVIEW_IsDrawnWallOrnamentAnAlcove_CPSF	function_local_storage	no_standalone_port
L	0092	L0092_puc_Bitmap	DUNVIEW.C	F0107_DUNGEONVIEW_IsDrawnWallOrnamentAnAlcove_CPSF	function_local_storage	no_standalone_port
L	0093	L0093_i_CoordinateSetOffset	DUNVIEW.C	F0107_DUNGEONVIEW_IsDrawnWallOrnamentAnAlcove_CPSF	function_local_storage	no_standalone_port
L	0094	L0094_B_FlipHorizontal	DUNVIEW.C	F0107_DUNGEONVIEW_IsDrawnWallOrnamentAnAlcove_CPSF	function_local_storage	no_standalone_port
L	0095	L0095_B_IsInscription	DUNVIEW.C	F0107_DUNGEONVIEW_IsDrawnWallOrnamentAnAlcove_CPSF	function_local_storage	no_standalone_port
L	0096	L0096_B_IsAlcove	DUNVIEW.C	F0107_DUNGEONVIEW_IsDrawnWallOrnamentAnAlcove_CPSF	function_local_storage	no_standalone_port
L	0097	L0097_i_Multiple	DUNVIEW.C	F0107_DUNGEONVIEW_IsDrawnWallOrnamentAnAlcove_CPSF	function_local_storage	no_standalone_port
L	0097	L0097_i_TextLineIndex	DUNVIEW.C	F0107_DUNGEONVIEW_IsDrawnWallOrnamentAnAlcove_CPSF	function_local_storage	no_standalone_port
L	0098	L0098_auc_Frame	DUNVIEW.C	F0107_DUNGEONVIEW_IsDrawnWallOrnamentAnAlcove_CPSF	function_local_storage	no_standalone_port
L	0099	L0099_auc_InscriptionString	DUNVIEW.C	F0107_DUNGEONVIEW_IsDrawnWallOrnamentAnAlcove_CPSF	function_local_storage	no_standalone_port
L	0100	L0100_i_NativeBitmapIndex	DUNVIEW.C	F0108_DUNGEONVIEW_DrawFloorOrnament	function_local_storage	no_standalone_port
L	0101	L0101_B_DrawFootprints	DUNVIEW.C	F0108_DUNGEONVIEW_DrawFloorOrnament	function_local_storage	no_standalone_port
L	0102	L0102_puc_Bitmap	DUNVIEW.C	F0108_DUNGEONVIEW_DrawFloorOrnament	function_local_storage	no_standalone_port
L	0103	L0103_puc_CoordinateSet	DUNVIEW.C	F0108_DUNGEONVIEW_DrawFloorOrnament	function_local_storage	no_standalone_port
L	0104	L0104_i_NativeBitmapIndex	DUNVIEW.C	F0109_DUNGEONVIEW_DrawDoorOrnament	function_local_storage	no_standalone_port
L	0105	L0105_i_CoordinateSet	DUNVIEW.C	F0109_DUNGEONVIEW_DrawDoorOrnament	function_local_storage	no_standalone_port
L	0106	L0106_puc_CoordinateSet	DUNVIEW.C	F0109_DUNGEONVIEW_DrawDoorOrnament	function_local_storage	no_standalone_port
L	0107	L0107_puc_Multiple	DUNVIEW.C	F0109_DUNGEONVIEW_DrawDoorOrnament	function_local_storage	no_standalone_port
L	0108	L0108_puc_Bitmap_Native	DUNVIEW.C	F0109_DUNGEONVIEW_DrawDoorOrnament	function_local_storage	no_standalone_port
L	0109	L0109_i_NativeBitmapIndex	DUNVIEW.C	F0110_DUNGEONVIEW_DrawDoorButton	function_local_storage	no_standalone_port
L	0110	L0110_i_CoordinateSet	DUNVIEW.C	F0110_DUNGEONVIEW_DrawDoorButton	function_local_storage	no_standalone_port
L	0111	L0111_puc_CoordinateSet	DUNVIEW.C	F0110_DUNGEONVIEW_DrawDoorButton	function_local_storage	no_standalone_port
L	0112	L0112_puc_Multiple	DUNVIEW.C	F0110_DUNGEONVIEW_DrawDoorButton	function_local_storage	no_standalone_port
L	0113	L0113_puc_Bitmap_Native	DUNVIEW.C	F0110_DUNGEONVIEW_DrawDoorButton	function_local_storage	no_standalone_port
L	0114	L0114_ui_Multiple	DUNVIEW.C	F0111_DUNGEONVIEW_DrawDoor	function_local_storage	no_standalone_port
L	0116	L0116_ps_Door	DUNVIEW.C	F0111_DUNGEONVIEW_DrawDoor	function_local_storage	no_standalone_port
L	0117	L0117_i_Multiple	DUNVIEW.C	F0112_DUNGEONVIEW_DrawCeilingPit	function_local_storage	no_standalone_port
L	0118	L0118_puc_Bitmap_Mask	DUNVIEW.C	F0113_DUNGEONVIEW_DrawField	function_local_storage	no_standalone_port
L	0119	L0119_puc_Bitmap	DUNVIEW.C	F0113_DUNGEONVIEW_DrawField	function_local_storage	no_standalone_port
L	0120	L0120_i_ByteWidth	DUNVIEW.C	F0114_DUNGEONVIEW_GetExplosionBitmap	function_local_storage	no_standalone_port
L	0120	L0120_i_Width	DUNVIEW.C	F0675_DUNGEONVIEW_GetScaledBitmap	function_local_storage	no_standalone_port
L	0121	L0121_i_Height	DUNVIEW.C	F0114_DUNGEONVIEW_GetExplosionBitmap;F0675_DUNGEONVIEW_GetScaledBitmap	function_local_storage	no_standalone_port
L	0122	L0122_i_DerivedBitmapIndex	DUNVIEW.C	F0114_DUNGEONVIEW_GetExplosionBitmap	function_local_storage	no_standalone_port
L	0123	L0123_puc_Bitmap	DUNVIEW.C	F0114_DUNGEONVIEW_GetExplosionBitmap;F0675_DUNGEONVIEW_GetScaledBitmap	function_local_storage	no_standalone_port
L	0124	L0124_ps_ExplosionAspect	DUNVIEW.C	F0114_DUNGEONVIEW_GetExplosionBitmap	function_local_storage	no_standalone_port
L	0125	L0125_puc_Bitmap_Native	DUNVIEW.C	F0114_DUNGEONVIEW_GetExplosionBitmap;F0675_DUNGEONVIEW_GetScaledBitmap	function_local_storage	no_standalone_port
L	0126	L0126_i_Multiple	DUNVIEW.C	F0115_DUNGEONVIEW_DrawObjectsCreaturesProjectilesExplosions_CPSEF	function_local_storage	no_standalone_port
