family	id	symbol	redmcsb_source	semantic_owner	classification	port_role	firestaff_mapping	disposition
A	3032	A3032_i_EventIndex	TIMELINE.C:429	F0652_MergeEvent	auxiliary_alias	function-local auxiliary alias	no standalone Firestaff mapping; owner trace=none	explicit_non_port_local_state
A	3032	A3032_i_EventType	TIMELINE.C:428	F0652_MergeEvent	auxiliary_alias	function-local auxiliary alias	no standalone Firestaff mapping; owner trace=none	explicit_non_port_local_state
A	6211	A6211_c_AsciiCode	COMMAND.C:1196	F2156_	auxiliary_alias	function-local auxiliary alias	no standalone Firestaff mapping; owner trace=none	explicit_non_port_local_state
A	6211	A6211_c_Value	COMMAND.C:1197	F2156_	auxiliary_alias	function-local auxiliary alias	no standalone Firestaff mapping; owner trace=none	explicit_non_port_local_state
L	0000	L0000_s_Event_CPSE	NEWMAP.C:16	F0003_MAIN_ProcessNewPartyMap_CPSE	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=trace_only:src/dm1/dm1_v1_game_state_pc34_compat.c:14	explicit_non_port_local_state
L	0001	L0001_puc_ObjectNames	OBJECT.C:31	F0031_OBJECT_LoadNames	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=trace_only:src/dm1/dm1_v1_chest_ninth_item_hidden_tail_pc34_compat.c:10	explicit_non_port_local_state
L	0002	L0002_puc_Graphic	OBJECT.C:33	F0031_OBJECT_LoadNames	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=trace_only:src/dm1/dm1_v1_chest_ninth_item_hidden_tail_pc34_compat.c:10	explicit_non_port_local_state
L	0003	L0003_ui_ObjectNameIndex	OBJECT.C:35	F0031_OBJECT_LoadNames	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=trace_only:src/dm1/dm1_v1_chest_ninth_item_hidden_tail_pc34_compat.c:10	explicit_non_port_local_state
L	0004	L0004_i_Multiple	OBJECT.C:127	F0032_OBJECT_GetType	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=trace_only:src/engine/m11_game_view.c:26804	explicit_non_port_local_state
L	0005	L0005_i_IconIndex	OBJECT.C:154	F0033_OBJECT_GetIconIndex	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=trace_only:src/engine/m11_game_view.c:26804	explicit_non_port_local_state
