symbol	kind	family	reference_source	baseline_status	disposition	evidence
CSBWin_STKOP_Overlay_Palette	DSA	CSBWIN_RUNTIME	CSBWin DSA.cpp:2916-2943; Bitmaps.cpp:650-723; SaveGame.cpp:400-430	BLOCKED	REQUIRES_AUTHENTIC_CSBGRAPHICS_OVERLAY_PAYLOAD	EXPOOL overlay palette and CSBgraphics signature gate exist in CSB runtime profile, but ReadCSBgraphic overlay/overlay-palette payload identity and bitmap layout are not verified. No DSA rendering opcode is enabled and no fallback pixels are created.
CSBWin_STKOP_ObjectID	DSA	CSBWIN_RUNTIME	CSBWin DSA.cpp:2733-2738	IMPLEMENTED_NARROW	SOURCE_LOCKED_DSA_BANK_IDENTITY	include/csb_v1_chaos_magic_pc34_compat.h; src/csb/csb_v1_chaos_magic_pc34_compat.c; authenticated subcode 9 pushes only the caller-owned most-recent interesting object. Missing ownership rejects without a fallback value.
CSBWin_STKOP_MonBlk	DSA	CSBWIN_RUNTIME	CSBWin DSA.cpp:4625-4636; Monster.cpp:675,3306-3309	IMPLEMENTED_NARROW	SOURCE_LOCKED_TRANSIENT_MOVEMENT_MASK	include/csb_v1_chaos_magic_pc34_compat.h; src/csb/csb_v1_chaos_magic_pc34_compat.c; src/csb/csb_v1_runtime_pc34_compat.c; authenticated subcode 71 stages the source north/east/south/west mask and publishes only on complete action acceptance. A separate live movement caller remains required; no inferred movement result is claimed.
CSBWin_STKOP_SetAdjustSkillsParameters	DSA	CSBWIN_RUNTIME	CSBWin DSA.cpp:3034-3043; Magic.cpp:301-302	IMPLEMENTED_NARROW	SOURCE_LOCKED_TRANSACTIONAL_ADJUST_SKILLS_OWNER	include/csb_v1_chaos_magic_pc34_compat.h; src/csb/csb_v1_chaos_magic_pc34_compat.c; authenticated AMPERSAND subcode 92 pops five values into source indices 4..0 and publishes the complete array only after the full action accepts. Missing Magic/AddToSkill ownership or later malformed bytecode rejects without a synthetic global.
CSBWin_STKOP_Describe	DSA	CSBWIN_RUNTIME	CSBWin DSA.cpp:4639-4661; Character.cpp:3797-3832	IMPLEMENTED_NARROW	SOURCE_LOCKED_TRANSACTIONAL_DB2_PHRASE_CALLBACK	include/csb_v1_chaos_magic_pc34_compat.h; src/csb/csb_v1_chaos_magic_pc34_compat.c; authenticated AMPERSAND subcode 72 pops color/index/location, preserves Character.cpp's invalid-index no-op, and publishes valid requests only after full bytecode acceptance. Missing DB2/phrase ownership or later malformed bytecode rejects; no host text or phrase fallback exists.
CSBWin_STKOP_Sound	DSA	CSBWIN_RUNTIME	CSBWin DSA.cpp:4612-4624; Data.h:1783	IMPLEMENTED_NARROW	SOURCE_LOCKED_TRANSACTIONAL_AUDIO_CALLBACK	include/csb_v1_chaos_magic_pc34_compat.h; src/csb/csb_v1_chaos_magic_pc34_compat.c; authenticated AMPERSAND subcode 69 pops flags, volume, then sound number and queues only caller-owned audio requests until complete action acceptance. Missing audio ownership or malformed later words reject; no sound/media fallback is created.
CSBWin_EXTENDEDFEATURESBLOCK_SaveHeader	SAVE_RUNTIME	CSBWIN_RUNTIME	CSBWin CSB.h:463-512; SaveGame.cpp:296-428	IMPLEMENTED_NARROW	SOURCE_LOCKED_TYPED_HEADER_RETENTION	include/csb_v1_csbwin_512_xor_pad_classify.h; src/csb/csb_v1_csbwin_512_xor_pad_classify.c; include/csb_v1_runtime_pc34_compat.h; src/csb/csb_v1_runtime_pc34_compat.c; checksum-authenticated editing, graphics, spell-filter, overlay, CSBgraphics, and hint-key fields stage atomically with the Extended Features tail and clear on a core-only resume. Presentation remains unavailable without authenticated CSBgraphics asset/decode/host ownership.
CSBWin_DSA_SaveRuntimeCorpusGate	SAVE_RUNTIME	CSBWIN_RUNTIME	CSBWin SaveGame.cpp:211-260,298-385; DSA.cpp:5637-5798; data.cpp:1798-1827	IMPLEMENTED_NARROW	SOURCE_LOCKED_DSA_CORPUS_RECEIPT	include/csb_v1_csbwin_save_loader_boundary_pc34_compat.h; include/csb_v1_boot.h; src/csb/csb_v1_csbwin_save_loader_boundary_pc34_compat.c; src/csb/csb_v1_boot.c; tests/test_csb_v1_csbwin_save_loader_boundary_pc34_compat.c; tests/test_csb_v1_boot_runtime_handoff.c; DSA runtime handoff is allowed only for recognised CSBWin save filenames whose Extended Features DSA section, game-info/level-index tail, and following GAMEBLOCK1 header all authenticate. Boot/runtime save-import receipts now surface that verdict separately from CSBGAME roster-loader readiness, and staged CSBWin runtime import refuses paths unless the filename/loader classifier is import-ready. This gate creates no vendored corpus bytes, no synthetic DSA action, and no mutable runtime import by itself.
CSBWin_STKOP_DiscardText	DSA	CSBWIN_RUNTIME	CSBWin DSA.cpp:3161-3167	IMPLEMENTED_NARROW	SOURCE_LOCKED_TRANSACTIONAL_SCROLLING_TEXT_CALLBACK	include/csb_v1_chaos_magic_pc34_compat.h; src/csb/csb_v1_chaos_magic_pc34_compat.c; discard commits only after authenticated bytecode; DSA text-bank fetch/name import remains open.
CSBWin_STKOP_ModifyMessage	DSA	CSBWIN_RUNTIME	CSBWin DSA.cpp:4931-4947; CSBCode.cpp:6403-6405	IMPLEMENTED_NARROW	SOURCE_LOCKED_PER_TIMER_MESSAGE_REMAP	include/csb_v1_chaos_magic_pc34_compat.h; src/csb/csb_v1_chaos_magic_pc34_compat.c; authenticated AMPERSAND2 opcode 138 stages the caller-owned SET/CLEAR/TOGGLE map, preserves source pop order, and clamps values above three; a malformed later word leaves the caller map unchanged. Full ProcessTimers consumer coverage remains separate.
CSBWin_STKOP_Jitter	DSA	CSBWIN_RUNTIME	CSBWin DSA.cpp:4898-4929	IMPLEMENTED_NARROW	SOURCE_LOCKED_TRANSACTIONAL_JITTER_CONTEXT	include/csb_v1_chaos_magic_pc34_compat.h; src/csb/csb_v1_chaos_magic_pc34_compat.c; authenticated AMPERSAND2 opcode 137 stages all four caller-owned graphic/overlay offsets and raises the source redraw latch only when a value changes; malformed later words publish neither offsets nor latch.
CSBWin_STKOP_Copy	DSA	CSBWIN_RUNTIME	CSBWin DSA.cpp:4696-4721	IMPLEMENTED_NARROW	SOURCE_LOCKED_TRANSACTIONAL_DB3_PAYLOAD_COPY	include/csb_v1_chaos_magic_pc34_compat.h; src/csb/csb_v1_chaos_magic_pc34_compat.c; src/csb/csb_v1_runtime_pc34_compat.c; authenticated AMPERSAND opcode 76 pops destination then source, validates both loaded DB3 records, stages the exact six post-header bytes, and publishes only after complete bytecode acceptance. Missing/malformed raw ownership rejects; non-DB3 source or destination keeps CSBWin's no-op.
CSBWin_STKOP_CausePoison	DSA	CSBWIN_RUNTIME	CSBWin DSA.cpp:4348-4362; CSBCode.cpp:7202-7229	IMPLEMENTED_NARROW	SOURCE_LOCKED_TRANSACTIONAL_POISON_CALLBACK	include/csb_v1_chaos_magic_pc34_compat.h; src/csb/csb_v1_chaos_magic_pc34_compat.c; source stack staging with post-bytecode poison callback only; live runtime remains closed until original CHARDESC damage, flag, and TT_75 timer ownership is available.
CSBWin_STKOP_SwapCharacter	DSA	CSBWIN_RUNTIME	CSBWin DSA.cpp:4413-4425; Character.cpp:5472-5511	IMPLEMENTED_NARROW	SOURCE_LOCKED_TRANSACTIONAL_ROSTER_CALLBACK	include/csb_v1_chaos_magic_pc34_compat.h; src/csb/csb_v1_chaos_magic_pc34_compat.c; source stack result and post-bytecode roster commit only; live runtime remains closed until original party/Wings/CHARDESC save ownership is available.
CSBWin_STKOP_ExperiencePlus	DSA	CSBWIN_RUNTIME	CSBWin DSA.cpp:4542-4557; Magic.cpp:360-454	IMPLEMENTED_NARROW	SOURCE_LOCKED_TRANSACTIONAL_ADDTOSKILL_CALLBACK	include/csb_v1_chaos_magic_pc34_compat.h; src/csb/csb_v1_chaos_magic_pc34_compat.c; source stack staging with post-bytecode callback only; live runtime remains closed until an original skill owner supplies selected/base XP, limits, mastery, and level-up effects.
CSBWin_STKOP_CharStore	DSA	CSBWIN_RUNTIME	CSBWin DSA.cpp:4426-4529	IMPLEMENTED_NARROW	SOURCE_LOCKED_TRANSACTIONAL_CHARDESC_CALLBACK	include/csb_v1_chaos_magic_pc34_compat.h; src/csb/csb_v1_chaos_magic_pc34_compat.c; bounded source-stack staging and post-bytecode commit only; full live candidate remains closed until an original CHARDESC owner supplies party, PendingDamage, and PotentialCharacterOrdinal rules.
CSBWin_STKOP_CharFetch	DSA	CSBWIN_RUNTIME	CSBWin DSA.cpp:4167-4253	IMPLEMENTED_NARROW	SOURCE_LOCKED_CHARDESC_SNAPSHOT_CALLBACK	include/csb_v1_chaos_magic_pc34_compat.h; src/csb/csb_v1_chaos_magic_pc34_compat.c; exact 59-word callback, invalid-character zero image, and oversized-destination partial copy; live runtime remains closed until one original CHARDESC owner supplies hand/Wings/pending-damage state.
CSBWin_STKOP_PartyFetch	DSA	CSBWIN_RUNTIME	CSBWin DSA.cpp:4127-4165	IMPLEMENTED_NARROW	SOURCE_LOCKED_GAMEBLOCK2_SNAPSHOT_CALLBACK	include/csb_v1_chaos_magic_pc34_compat.h; src/csb/csb_v1_chaos_magic_pc34_compat.c; exact twelve-word callback and 100-cell no-op boundary; live runtime remains closed until PartySleeping has an original owner.
CSBWin_DB3_MakeBig_ParameterB	SAVE_RUNTIME	CSBWIN_RUNTIME	CSBWin data.cpp:1320-1351; DSA.cpp:548-571	IMPLEMENTED_NARROW	SOURCE_LOCKED_COMPACT_LOCALSTATE2_READ	src/csb/csb_v1_runtime_pc34_compat.c; raw DB3 word6 is masked to 14 bits before LocalState-2 dispatch; expanded word8 writes remain unavailable.
CSBWin_STKOP_Mastery	DSA	CSBWIN_RUNTIME	CSBWin DSA.cpp:3389-3409; Code17818.cpp:13-155	IMPLEMENTED_NARROW	SOURCE_LOCKED_CHARDESC_CALLBACK	include/csb_v1_chaos_magic_pc34_compat.h; src/csb/csb_v1_chaos_magic_pc34_compat.c; source stack bridge only, live runtime remains closed without sleeping and name-index ownership.
CSBWin_STKOP_MissileInfoStore	DSA	CSBWIN_RUNTIME	CSBWin DSA.cpp:2824-2846	IMPLEMENTED_NARROW	SOURCE_LOCKED_DB14_TIMER_WRITEBACK	src/csb/csb_v1_chaos_magic_pc34_compat.c; src/csb/csb_v1_runtime_pc34_compat.c; DB14+TIMER ownership and candidate raw-dungeon publication required; focused DSA regression.
F0031_OBJECT_LoadNames	F	OBJECT	ATARIST.H:25	UNCERTAIN_NUMBERED_EVIDENCE	REQUIRES_BEHAVIORAL_REVIEW	src/csb/csb_v1_character_pc34_compat.c:92; Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F0032_OBJECT_GetType	F	OBJECT	ATARIST.H:26	UNCERTAIN_NUMBERED_EVIDENCE	REQUIRES_BEHAVIORAL_REVIEW	src/csb/csb_v1_viewport_pc34_compat.c:1829; Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F0033_OBJECT_GetIconIndex	F	OBJECT	ACTIDRAW.C:252	UNCERTAIN_NUMBERED_EVIDENCE	REQUIRES_BEHAVIORAL_REVIEW	src/csb/csb_v1_viewport_pc34_compat.c:1829; Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F0034_OBJECT_DrawLeaderHandObjectName	F	OBJECT	ATARIST.H:28	UNCERTAIN_NUMBERED_EVIDENCE	REQUIRES_BEHAVIORAL_REVIEW	src/csb/csb_v1_runtime_pc34_compat.c:10956; Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F0035_OBJECT_ClearLeaderHandObjectName	F	OBJECT	ATARIST.H:29	MISSING	DEFERRED_NO_IMPLEMENTATION_CLAIM	-; No exact numbered token found in Firestaff src/include; no implementation claim.
F0036_OBJECT_ExtractIconFromBitmap	F	OBJECT	ACTIDRAW.C:263	UNCERTAIN_NUMBERED_EVIDENCE	REQUIRES_BEHAVIORAL_REVIEW	src/nexus/nexus_v1_engine.c:27; Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F0037_OBJECT_DrawIconToScreen	F	OBJECT	ATARIST.H:31	UNCERTAIN_NUMBERED_EVIDENCE	REQUIRES_BEHAVIORAL_REVIEW	src/nexus/nexus_v1_engine.c:89; Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F0038_OBJECT_DrawIconInSlotBox	F	OBJECT	ATARIST.H:32	UNCERTAIN_NUMBERED_EVIDENCE	REQUIRES_BEHAVIORAL_REVIEW	src/dm1/dm1_v1_champion_panel_hand_slot_refresh_pc34_compat.c:8; Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F0039_OBJECT_GetIconIndexInSlotBox	F	OBJECT	ATARIST.H:33	UNCERTAIN_NUMBERED_EVIDENCE	REQUIRES_BEHAVIORAL_REVIEW	src/dm1/dm1_v1_champion_panel_hand_slot_refresh_pc34_compat.c:96; Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F0139_DUNGEON_IsCreatureAllowedOnMap	F	DUNGEON	ATARIST.H:70	UNCERTAIN_NUMBERED_EVIDENCE	REQUIRES_BEHAVIORAL_REVIEW	include/dm1_v1_game_over_pc34_compat.h:5; Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F0140_DUNGEON_GetObjectWeight	F	DUNGEON	ATARIST.H:71	UNCERTAIN_NUMBERED_EVIDENCE	REQUIRES_BEHAVIORAL_REVIEW	src/csb/csb_v1_character_pc34_compat.c:188; Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F0141_DUNGEON_GetObjectInfoIndex	F	DUNGEON	ACTIDRAW.C:251	UNCERTAIN_NUMBERED_EVIDENCE	REQUIRES_BEHAVIORAL_REVIEW	src/csb/csb_v1_runtime_pc34_compat.c:9861; Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F0142_DUNGEON_GetProjectileAspect	F	DUNGEON	ATARIST.H:73	UNCERTAIN_NUMBERED_EVIDENCE	REQUIRES_BEHAVIORAL_REVIEW	src/csb/csb_v1_viewport_f0115_projectile_metadata_pc34_compat.c:18; Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F0143_DUNGEON_GetArmourDefense	F	DUNGEON	ATARIST.H:74	UNCERTAIN_NUMBERED_EVIDENCE	REQUIRES_BEHAVIORAL_REVIEW	src/dm1/dm1_v1_combat_pc34_compat.c:78; Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F0144_DUNGEON_GetCreatureAttributes	F	DUNGEON	ATARIST.H:75	UNCERTAIN_NUMBERED_EVIDENCE	REQUIRES_BEHAVIORAL_REVIEW	src/dm1/dm1_v1_melee_action_f0402_pc34_compat.c:2124; Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F0145_DUNGEON_GetGroupCells	F	DUNGEON	ATARIST.H:76	IMPLEMENTED_NARROW	IMPLEMENTED_NARROW_C04_RECORD_ACCESSOR	ReDMCSB DUNGEON.C F0145; DEFS.H GROUP C04 16-byte record; Firestaff `src/csb/csb_v1_dungeon_world_pc34_compat.c` plus effective active-group owner.
F0146_DUNGEON_SetGroupCells	F	DUNGEON	ATARIST.H:77	IMPLEMENTED_NARROW	SOURCE_LOCKED_C04_RECORD_MUTATION	include/csb_v1_f0146_dungeon_set_group_cells_pc34_compat.h; focused CTest.
F0147_DUNGEON_GetGroupDirections	F	DUNGEON	ATARIST.H:78	IMPLEMENTED_NARROW	SOURCE_LOCKED_C04_ACCESSOR	include/csb_v1_dungeon_world_pc34_compat.h; focused CTest.
F0148_DUNGEON_SetGroupDirections	F	DUNGEON	ATARIST.H:79	IMPLEMENTED_NARROW	SOURCE_LOCKED_C04_AND_ACTIVE_GROUP_UPDATE	include/csb_v1_f0148_dungeon_set_group_directions_pc34_compat.h; focused CTest.
F0149_DUNGEON_IsWallOrnamentAnAlcove	F	DUNGEON	ATARIST.H:80	IMPLEMENTED	SOURCE_BACKED_CURRENT_MAP_PREDICATE	src/csb/csb_v1_f0149_dungeon_wall_ornament_alcove_pc34_compat.c; ReDMCSB DUNGEON.C:1330-1347; caller-owned G0267-equivalent map table only.
