symbol	family	source_file	line	firestaff_mapping	status
DM2_0aaf_0067	SKULLWIN	SKULLWIN/c_0aaf.cpp	22		MISSING
DM2_0aaf_01db	SKULLWIN	SKULLWIN/c_0aaf.cpp	174		MISSING
DM2_0aaf_02f8	SKULLWIN	SKULLWIN/c_0aaf.cpp	251		MISSING
DM2_1031_01d5	SKULLWIN	SKULLWIN/c_1031.cpp	23		MISSING
DM2_1031_023b	SKULLWIN	SKULLWIN/c_1031.cpp	49		MISSING
DM2_1031_024c	SKULLWIN	SKULLWIN/c_1031.cpp	54		MISSING
gate_1031	SKULLWIN	SKULLWIN/c_1031.cpp	61		MISSING
DM2_1031_027e	SKULLWIN	SKULLWIN/c_1031.cpp	144		MISSING
DM2_1031_030a	SKULLWIN	SKULLWIN/c_1031.cpp	184		MISSING
DM2_1031_04F5	SKULLWIN	SKULLWIN/c_1031.cpp	264		MISSING
DM2_10777	SKULLWIN	SKULLWIN/c_1031.cpp	273		MISSING
DM2_107B0	SKULLWIN	SKULLWIN/c_1031.cpp	284		MISSING
DM2_1031_0541	SKULLWIN	SKULLWIN/c_1031.cpp	289		MISSING
DM2_1031_0675	SKULLWIN	SKULLWIN/c_1031.cpp	401		MISSING
DM2_1031_06a5	SKULLWIN	SKULLWIN/c_1031.cpp	408		MISSING
DM2_1031_06b3	SKULLWIN	SKULLWIN/c_1031.cpp	414		MISSING
DM2_1031_0781	SKULLWIN	SKULLWIN/c_1031.cpp	472		MISSING
DM2_1031_07d6	SKULLWIN	SKULLWIN/c_1031.cpp	497		MISSING
DM2_1031_0a88	SKULLWIN	SKULLWIN/c_1031.cpp	655		MISSING
DM2_1031_0c58	SKULLWIN	SKULLWIN/c_1031.cpp	747		MISSING
DM2_1031_10c8	SKULLWIN	SKULLWIN/c_1031.cpp	814		MISSING
DM2_CLICK_MAGICAL_MAP_AT	SKULLWIN	SKULLWIN/c_1031.cpp	834		MISSING
DM2_1BAAD	SKULLWIN	SKULLWIN/c_1c9a.cpp	23		MISSING
DM2_1BC29	SKULLWIN	SKULLWIN/c_1c9a.cpp	152		MISSING
DM2_19f0_0207	SKULLWIN	SKULLWIN/c_1c9a.cpp	163		MISSING
DM2_19f0_045a	SKULLWIN	SKULLWIN/c_1c9a.cpp	470		MISSING
DM2_19f0_04bf	SKULLWIN	SKULLWIN/c_1c9a.cpp	503		MISSING
DM2_19f0_050f	SKULLWIN	SKULLWIN/c_1c9a.cpp	542		MISSING
DM2_19f0_0547	SKULLWIN	SKULLWIN/c_1c9a.cpp	576		MISSING
DM2_19f0_0559	SKULLWIN	SKULLWIN/c_1c9a.cpp	584		MISSING
DM2_19f0_05e8	SKULLWIN	SKULLWIN/c_1c9a.cpp	648		MISSING
DM2_1c9a_0598	SKULLWIN	SKULLWIN/c_1c9a.cpp	933		MISSING
DM2_19f0_0891	SKULLWIN	SKULLWIN/c_1c9a.cpp	960		MISSING
DM2_19f0_0d10	SKULLWIN	SKULLWIN/c_1c9a.cpp	1663		MISSING
DM2_19f0_13aa	SKULLWIN	SKULLWIN/c_1c9a.cpp	2259		MISSING
DM2_19f0_1511	SKULLWIN	SKULLWIN/c_1c9a.cpp	2430		MISSING
DM2_D283	SKULLWIN	SKULLWIN/c_1c9a.cpp	2438		MISSING
DM2_CREATURE_GO_THERE	SKULLWIN	SKULLWIN/c_1c9a.cpp	2514		MISSING
DM2_19f0_2024	SKULLWIN	SKULLWIN/c_1c9a.cpp	3986		MISSING
DM2_19f0_2165	SKULLWIN	SKULLWIN/c_1c9a.cpp	4123		MISSING
DM2_19f0_266c	SKULLWIN	SKULLWIN/c_1c9a.cpp	4640		MISSING
DM2_19f0_2723	SKULLWIN	SKULLWIN/c_1c9a.cpp	4720		MISSING
DM2_19f0_2813	SKULLWIN	SKULLWIN/c_1c9a.cpp	4840		MISSING
DM2_4DEA	SKULLWIN	SKULLWIN/c_1c9a.cpp	5083		MISSING
DM2_1BA1B	SKULLWIN	SKULLWIN/c_1c9a.cpp	5089		MISSING
DM2_1c9a_0247	SKULLWIN	SKULLWIN/c_1c9a.cpp	5134		MISSING
DM2_1c9a_0648	SKULLWIN	SKULLWIN/c_1c9a.cpp	5161		MISSING
DM2_1c9a_0694	SKULLWIN	SKULLWIN/c_1c9a.cpp	5198		MISSING
DM2_1c9a_06bd	SKULLWIN	SKULLWIN/c_1c9a.cpp	5217		MISSING
DM2_1c9a_078b	SKULLWIN	SKULLWIN/c_1c9a.cpp	5248		MISSING
DM2_1c9a_0958	SKULLWIN	SKULLWIN/c_1c9a.cpp	5376		MISSING
DM2_1c9a_09b9	SKULLWIN	SKULLWIN/c_1c9a.cpp	5403		MISSING
DM2_1c9a_09db	SKULLWIN	SKULLWIN/c_1c9a.cpp	5415		MISSING
DM2_CREATURE_SOMETHING_1c9a_0a48	SKULLWIN	SKULLWIN/c_1c9a.cpp	5433		MISSING
DM2_1c9a_0cf7	SKULLWIN	SKULLWIN/c_1c9a.cpp	5694		MISSING
DM2_1c9a_0db0	SKULLWIN	SKULLWIN/c_1c9a.cpp	5733		MISSING
DM2_14cd_0802	SKULLWIN	SKULLWIN/c_1c9a.cpp	5765		MISSING
DM2_ALLOC_CAII_TO_CREATURE	SKULLWIN	SKULLWIN/c_1c9a.cpp	5771		MISSING
DM2_1c9a_0fcb	SKULLWIN	SKULLWIN/c_1c9a.cpp	5895		MISSING
DM2_CREATE_MINION	SKULLWIN	SKULLWIN/c_1c9a.cpp	5960		MISSING
DM2_RELEASE_MINION	SKULLWIN	SKULLWIN/c_1c9a.cpp	6148		MISSING
DM2_1c9a_17c7	SKULLWIN	SKULLWIN/c_1c9a.cpp	6181		MISSING
DM2_1c9a_19d4	SKULLWIN	SKULLWIN/c_1c9a.cpp	6240		MISSING
DM2_1c9a_1a48	SKULLWIN	SKULLWIN/c_1c9a.cpp	6273		MISSING
DM2_1c9a_1b16	SKULLWIN	SKULLWIN/c_1c9a.cpp	6354		MISSING
DM2_1c9a_1bae	SKULLWIN	SKULLWIN/c_1c9a.cpp	6420		MISSING
DM2_FIND_WALK_PATH	SKULLWIN	SKULLWIN/c_1c9a.cpp	6438		MISSING
DM2___SET_CURRENT_THINKING_CREATURE_WALK_PATH	SKULLWIN	SKULLWIN/c_1c9a.cpp	9670		MISSING
DM2_1c9a_381c	SKULLWIN	SKULLWIN/c_1c9a.cpp	9696		MISSING
DM2_1c9a_38a8	SKULLWIN	SKULLWIN/c_1c9a.cpp	9748		MISSING
DM2_FILL_CAII_CUR_MAP	SKULLWIN	SKULLWIN/c_1c9a.cpp	9895		MISSING
DM2_FILL_ORPHAN_CAII	SKULLWIN	SKULLWIN/c_1c9a.cpp	9995		MISSING
init	SKULLWIN	SKULLWIN/c_350.cpp	3	src/dm2/dm2_v2_touch_runtime.c:32	UNCERTAIN
event_loop_T1	SKULLWIN	SKULLWIN/c_addon.cpp	30		MISSING
wait_for_vsync	SKULLWIN	SKULLWIN/c_addon.cpp	122		MISSING
wft	SKULLWIN	SKULLWIN/c_addon.cpp	127		MISSING
DM2_14cd_2807	SKULLWIN	SKULLWIN/c_ai.cpp	21		MISSING
DM2_14cd_2886	SKULLWIN	SKULLWIN/c_ai.cpp	56		MISSING
DM2_PROCEED_XACT_56	SKULLWIN	SKULLWIN/c_ai.cpp	78		MISSING
DM2_PROCEED_XACT_57	SKULLWIN	SKULLWIN/c_ai.cpp	86		MISSING
DM2_PROCEED_XACT_59_76	SKULLWIN	SKULLWIN/c_ai.cpp	106		MISSING
DM2_PROCEED_XACT_62	SKULLWIN	SKULLWIN/c_ai.cpp	119		MISSING
DM2_PROCEED_XACT_63	SKULLWIN	SKULLWIN/c_ai.cpp	295		MISSING
DM2_PROCEED_XACT_64	SKULLWIN	SKULLWIN/c_ai.cpp	333		MISSING
DM2_PROCEED_XACT_65	SKULLWIN	SKULLWIN/c_ai.cpp	364		MISSING
DM2_14cd_2662	SKULLWIN	SKULLWIN/c_ai.cpp	400		MISSING
