reference	symbol	disposition	owner	evidence	notes
ReDMCSB	F0513_DIALOG_DrawGameReadyToPlay_Unreferenced	NON_APPLICABLE_PLATFORM_BOUNDARY	DM1	include/dm1_v1_amiga_platform_boundary_pc34_compat.h; src/dm1/dm1_v1_amiga_platform_boundary_pc34_compat.c; tests/test_dm1_v1_f0513_amiga_dialog_platform_boundary_pc34_compat.c	Models AMIGA.H:304 / DIALOG.C as an unreferenced Amiga-host dialog route; no reviewed Firestaff implementation, no evidenced I34E/I34M PC3.4 runtime dialog contract, and no synthetic ready-to-play dialog substitute is claimed.
ReDMCSB	F0535_MEMORY_GetGraphicsDatFileSize	NON_APPLICABLE_PLATFORM_BOUNDARY	DM1	include/dm1_v1_amiga_platform_boundary_pc34_compat.h; src/dm1/dm1_v1_amiga_platform_boundary_pc34_compat.c; tests/test_dm1_v1_f0513_amiga_dialog_platform_boundary_pc34_compat.c	Models AMIGA.H:336 / MEMORY.C / STARTUP1.C as an Amiga-host GRAPHICS.DAT size query with no reviewed PC3.4 file-size contract; Firestaff asset loading remains owned by existing source-backed loader routes and no synthetic size API is claimed.
ReDMCSB	F0551_VIDEO_HatchBox_Unreferenced	NON_APPLICABLE_PLATFORM_BOUNDARY	DM1	include/dm1_v1_amiga_platform_boundary_pc34_compat.h; src/dm1/dm1_v1_amiga_platform_boundary_pc34_compat.c; tests/test_dm1_v1_f0513_amiga_dialog_platform_boundary_pc34_compat.c	Models AMIGA.H:352 / BLITFILL.C:437 as an unreferenced Amiga video hatch-box route; Firestaff keeps it as a no-portability boundary and does not fabricate hatch-fill visuals.
ReDMCSB	F0552_BASE_DisplayError	NON_APPLICABLE_PLATFORM_BOUNDARY	DM1	include/dm1_v1_amiga_platform_boundary_pc34_compat.h; src/dm1/dm1_v1_amiga_platform_boundary_pc34_compat.c; tests/test_dm1_v1_f0513_amiga_dialog_platform_boundary_pc34_compat.c	Models AMIGA.H:353 / BASE.C:1085 as an Amiga host error display surface; PC34 terminal error behavior is covered by narrower source-mapped callables such as F0019, so no generic host dialog is synthesized.
ReDMCSB	F0557_SCROLLER_Initialize	NON_APPLICABLE_PLATFORM_BOUNDARY	DM1	include/dm1_v1_amiga_platform_boundary_pc34_compat.h; src/dm1/dm1_v1_amiga_platform_boundary_pc34_compat.c; tests/test_dm1_v1_f0513_amiga_dialog_platform_boundary_pc34_compat.c	Models AMIGA.H:358 / SCRLMGMT.C / STARTUP1.C as an Amiga-host scroller lifecycle boundary with no exact Firestaff implementation claim; existing DM1 text-message and scroll-content routes remain separate and no host scroller task is synthesized.
ReDMCSB	F0558_SCROLLER_CancelInitialize	NON_APPLICABLE_PLATFORM_BOUNDARY	DM1	include/dm1_v1_amiga_platform_boundary_pc34_compat.h; src/dm1/dm1_v1_amiga_platform_boundary_pc34_compat.c; tests/test_dm1_v1_f0513_amiga_dialog_platform_boundary_pc34_compat.c	Models AMIGA.H:359 / SCRLMGMT.C as an Amiga-host scroller initialization-cancel boundary; no portable scroller thread or host callback is synthesized.
ReDMCSB	F0559_SCROLLER_Deinitialize	NON_APPLICABLE_PLATFORM_BOUNDARY	DM1	include/dm1_v1_amiga_platform_boundary_pc34_compat.h; src/dm1/dm1_v1_amiga_platform_boundary_pc34_compat.c; tests/test_dm1_v1_f0513_amiga_dialog_platform_boundary_pc34_compat.c	Models AMIGA.H:360 / SCRLMGMT.C / STARTUP1.C as an Amiga-host scroller teardown boundary; DM1 text cleanup remains runtime-owned and no fabricated host scroller is claimed.
ReDMCSB	F0562_SCROLLER_Task	NON_APPLICABLE_PLATFORM_BOUNDARY	DM1	include/dm1_v1_amiga_platform_boundary_pc34_compat.h; src/dm1/dm1_v1_amiga_platform_boundary_pc34_compat.c; tests/test_dm1_v1_f0513_amiga_dialog_platform_boundary_pc34_compat.c	Models AMIGA.H:363 / SCRLTASK.C as an Amiga-host scroller task boundary with no exact Firestaff implementation claim; no portable background scroller task is invented for PC3.4.
ReDMCSB	F0563_SCROLLER_UpdateMessageArea	NON_APPLICABLE_PLATFORM_BOUNDARY	DM1	include/dm1_v1_amiga_platform_boundary_pc34_compat.h; src/dm1/dm1_v1_amiga_platform_boundary_pc34_compat.c; tests/test_dm1_v1_f0513_amiga_dialog_platform_boundary_pc34_compat.c	Models AMIGA.H:364 / SCRLTASK.C as an Amiga-host scroller message-area update boundary; existing DM1 TEXT.C message-area routes remain separate and source-named.
ReDMCSB	F1111_CPSX	NON_APPLICABLE_PLATFORM_BOUNDARY	DM1	include/dm1_v1_amiga_platform_boundary_pc34_compat.h; src/dm1/dm1_v1_amiga_platform_boundary_pc34_compat.c; tests/test_dm1_v1_f0513_amiga_dialog_platform_boundary_pc34_compat.c	Models AMIGINIT.C:551 plus FLOPPYAM.C/FIO1.C/HINT001.C/UTIO.C/CNFG.C as an Amiga-host CPSX boundary; no copy-protection, floppy, file, or hint-oracle side effect is synthesized.
